English,Afrikaans,isiXhosa,isiZulu
Before meals,Voor etes,Phambi kokutya,Phambi kokudla
After meals,Na etes,Emva kokutya,Ngemva kokudla
With meals,Met etes,Ngethuba lokutya,Nokudla
Without regard to meals,Met of sonder kos,Ngaphandle kokunaka ukutya,ngokunganaki izikhathi zokudla
As prescribed,Soos voorgeskryf,Njengoko kumiselwe,njengoba kushiwo
"Swallow whole, Do not crush or chew, With a full glass of water","Sluk heel, Moenie fynmaak of kou nie, Met 'n vol glas water","Ginya yonke, musa ukuyityumza okanye ukuyihlafuna, ngeglasi yamanzi egcweleyo","Gwinya wonke, ungawagayi futhi ungawahlafuni, phuza ngamanzi agcwele ingilazi."
Dissolve in water before taking,Los op in water,Nyibilikisa emanzini phambi kokuba usele,Wancibikalise emanzini ngaphambi kokuba uwaphuze.
Swallow whole,Sluk heel,Ginya yonke (also depends on what is being swallowed),Gwinya konke
"Swallow whole, Do not crush or chew, With a full glass of water",Sluk heel,"Ginya yonke, musa ukuyityumza okanye ukuyihlafuna, ngeglasi yamanzi egcweleyo","Gwinya konke, ungawagayi futhi ungawahlafuni, phuza ngamanzi agcwele ingilazi."
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
"Shake well before use, Measure with a dosing spoon or cup","Skud goed voor gebruik, Meet met 'n doseringslepel of doseringskoppie",Hlukuhla kakuhle phambi kokuyisebenzisa; linganisa ngecepe lokulinganisa okanye ngekopi yokulinganisa,"Wuxukuze ngaphambi kokuwusebenzisa, wukale ngesipuni esifanele noma ngenkomishi efanele"
"Shake well before use, Rinse mouth after use","Skud goed voor gebruik, Spoel mond na gebruik",Hlukuhla kakuhle phambi kokuyisebenzisa; pula umlomo emva kokuyisebenzisa,"Wuxukuze ngaphambi kokuwusebenzisa, Xubha emva kokuwusebenzisa"
"Do not shake, Inhale deeply","Moenie skud nie, Asem diep in","Musa ukuyihlukuhla, phefumla nzulu","Ungawuxukuzi, Wuhogelisise"
"Clear nasal passages before use, Do not share dispenser","Maak neusholtes skoon voor gebruik, Moenie die dispenser met iemand deel nie","Coca imingxuma yempumlo phambi kokuyisebenzisa, Musa ukwabelana ngespreyi","Finya ukhiphe konke okusemakhaleni ngaphambi kokuwusebenzisa, Ungasebenzisi idispenser eyodwa nabanye abantu "
"Clear nasal passages before use, Do not share dispenser","Maak neusholtes skoon voor gebruik, Moenie die dispenser met iemand deel nie","Coca imingxuma yempumlo phambi kokuyisebenzisa, Musa ukwabelana ngespreyi","Finya ukhiphe konke okusemakhaleni ngaphambi kokuwusebenzisa, Ungasebenzisi idispenser eyodwa nabanye abantu "
"Do not touch the dropper to any surface, Apply pressure to tear duct after use","Moenie die drupper aan enige oppervlak laat laat raak nie, Pas druk toe op traanbuis na gebruik",Indawo ephuma ithontsi mayingaphathi nakweyiphi na indawo; cinezela umngxunya wenyembezi emva kokusisebenzisa,"Ungayithinti/ungayibambi idropper kunoma iyiphi indawo, Cindezela kakhulu iso (i-tear duct) emva kokuwusebenzisa"
"Do not touch the applicator to any surface, Apply inside lower eyelid","Moenie die toediener aan enige oppervlak laat raak nie, Wend binne onderste ooglid aan",Indawo ephuma ithontsi mayingaphathi nakweyiphi na indawo; galela kwi-eyelid engezantsi,"Ungayithinti/ungayibambi i-applicator kunoma iyiphi indawo, Faka kwingxenye engaphakathi ngaphansi esweni."
"Apply to affected area only, Do not apply to broken skin","Wend slegs op aangetaste gebied aan, Moenie op beskadigde vel gebruik nie",Qaba kwindawo echaphazelekayo kuphela; musa ukuqaba kulusu oluvulekileyo,"Gcoba endaweni ethintekile kuphela, Ungagcobi esikhunjeni esidabukile."
"Apply to affected area only, Do not apply to broken skin","Wend slegs op aangetaste gebied aan, Moenie op beskadigde vel gebruik nie",Qaba kwindawo echaphazelekayo kuphela; musa ukuqaba kulusu oluvulekileyo,"Gcoba endaweni ethintekile kuphela, Ungagcobi esikhunjeni esidabukile."
"Apply to affected area only, Do not apply to broken skin","Wend slegs op aangetaste gebied aan, Moenie op beskadigde vel gebruik nie",Qaba kwindawo echaphazelekayo kuphela; musa ukuqaba kulusu oluvulekileyo,"Gcoba endaweni ethintekile kuphela, Ungagcobi esikhunjeni esidabukile."
"Apply to affected area only, Do not apply to broken skin","Wend slegs op aangetaste gebied aan, Moenie op beskadigde vel gebruik nie",Qaba kwindawo echaphazelekayo kuphela; musa ukuqaba kulusu oluvulekileyo,"Gcoba endaweni ethintekile kuphela, Ungagcobi esikhunjeni esidabukile."
"Warm to body temperature before use, Lie down with affected ear upward","Verhit tot liggaamstemperatuur voor gebruik, Lê met die aangetaste oor na bo","Fudumeza ukuya kwiqondo lobushushu lomzimba phambi kokusebenzisa, Lala ngendlebe echaphazelekileyo ijonge phezulu","Wufudumeze uze ufike ezingeni lokushisa elilingana nokushisa komzimba ngaphambi kokuwusebenzisa, Lala ngohlangothi ukuze indlebe ethintekile ibe ngaphezulu."
"Insert high into the vagina, Use at bedtime if possible","Plaas hoog in die vagina, Gebruik net voor slaaptyd indien moontlik","Faka nzulu kwilungu langasese elingaphambili, sebenzisa phambi kokulala ukuba kuyenzeka","Faka phakathi ekujuleni kwesitho sangasese sowesifazane (kwi-vagina), Wusebenzise ngesikhathi sokuyolala uma kungenzeka. "
"Insert into the rectum, Lie down for a few minutes after insertion","Plaas in die rektum, Lê vir 'n paar minute na toediening","Faka  kwilungu langasese elingasemva, ngqengqa imizuzu embalwa emva kokufaka","Faka phakathi endunu/emdidini, Cambalala imizuzu embalwa emva kokuwufaka"
"Place on tongue, Allow to dissolve without chewing","Plaas op tong, Laat oplos sonder om te kou","Beka elwimini, yeka inyibilike ngaphandle kokuhlafuna","Beka olimini, linda kuncibilike ungahlafuni"
"Place under the tongue or in the buccal pouch (the space between the cheek and gums), Allow to dissolve without chewing","Plaas onder die tong of in die wangsak (die ruimte tussen die wang en tandvleis), Laat oplos sonder om te kou","Beka phantsi kolwimi okanye kwindawo ephakathi kwesidlele neentsini, yeka ukuba inyibilike ngaphandle kokuhlafuna","Beka ngaphansi kolimi noma kulendawo ephakathi kwesihlathi nezisini/nezinsini, linda ancibilike ungawahlafuni"
"Apply to clean, dry, hairless area, Rotate sites to avoid irritation","Wend op skoon, droë, haarlose area aan, Roteer aangwendings areas om irritasie te voorkom",,"Beka endaweni ehlanzekile, eyomile, enganazinwele/uboya, Beka ezindaweni ezahlukene ukuze ugweme ukuqubuka"
"Follow specific instructions for injection site and technique, Rotate injection sites","Volg spesifieke instruksies vir inspuitplek en -tegniek, Roteer inspuitplekke",,"Landela imiyalelo ebekiwe mayelana nendawo ezojovwa kanye nendlela yokujova, Shintsha izindawo zomjovo "
Chew completely before swallowing,Kou heeltemal voor insluk,Hlafuna kakuhle phambi kokuginya,Hlafunisisa ngokuphelele ngaphambi kokugwinya
"Apply to affected area only, Do not apply to broken skin","Wend slegs op aangetaste gebied aan, Moenie op beskadigde vel gebruik nie",Qaba kwindawo echaphazelekayo kuphela; musa ukuqaba kulusu oluvulekileyo,"Gcoba endaweni ethintekile kuphela, Ungagcobi esikhunjeni esidabukile."
"Gargle and spit out, Do not swallow","Gorrel en spoeg uit, Moenie insluk nie","Rharhaza utshice, musa ukuginya","Hahaza ukhafule, Ungagwinyi"
"Spray into mouth, Do not inhale","Spuit in die mond, Moenie inasem nie","Spreya emlonyeni, musa ukuphefumla","Futha emlonyeni, ungahogeli"
"Spray on affected area, Do not inhale","Spuit op aangetaste gebied, Moenie inasem nie","Spreya kwindawo echaphazelekayo, Musa ukuphefumla","Futha endaweni ethintekile, Ungahogeli"
Let dissolve slowly in the mouth,Laat stadig in die mond oplos,Yeka inyibilike ngokucotha emlonyeni,Linda kthathe isikhathi ukuncibilika emlonyeni
Apply directly to the affected area in the mouth,Wend direk op die aangetaste gebied in die mond aan,Qaba ngqo kwindawo echaphazelekayo emlonyeni,Faka ngqo endaweni ethintekile emlonyeni
Apply directly to the affected area,Wend direk op die aangetaste gebied aan,Qaba ngqo kwindawo echaphazelekayo,Gcoba ngqo endaweni ethintekile.
Dissolve in water or juice before taking,Los in water of sap op voor inname,Nyibilikisa emanzini okanye kwi-juice phambi kokusela,Ncibilikisa emanzini noma kwi-juice ngaphambi kokuphuza
Dissolve in water or juice before taking,Los in water of sap op voor inname,Nyibilikisa emanzini okanye kwi-juice phambi kokusela,Ncibilikisa emanzini noma kwi-juice ngaphambi kokuphuza
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Beka/gcina endaweni epholile, Beka/gcina endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Refrigerate after opening (if applicable), Store at room temperature","Bewaar in yskas na opening (indien van toepassing), Bewaar by kamertemperatuur na opening.","Gcina efrijini emva kokuvula (ukuba kuyimfuneko), Gcina kwiqondo lobushushu eliqhelekileyo","Gcina/beka kwisiqandisi emva kokuwuvula (uma kushiwo njalo), Gcina/beka endaweni epholile "
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature or refrigerate if specified, Keep away from direct sunlight","Stoor by kamertemperatuur of bewaar in yskas indien gespesifiseer, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo okanye efrijini ukuba kuyimfuneko, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile noma kwisiqandisi uma kushiwo njalo, Gcina/beka kude nelanga"
"Store at room temperature or refrigerate if specified, Keep away from direct sunlight","Stoor by kamertemperatuur of bewaar in yskas indien gespesifiseer, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo okanye efrijini ukuba kuyimfuneko, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile noma kwisiqandisi uma kushiwo njalo, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina endaweni eyomile"
"Store at room temperature or refrigerate if specified, Keep away from direct sunlight","Stoor by kamertemperatuur of bewaar in yskas indien gespesifiseer, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo okanye efrijini ukuba kuyimfuneko, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile noma kwisiqandisi uma kushiwo njalo, Gcina/beka kude nelanga"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store in the refrigerator before opening, Store at room temperature after opening","Stoor in die yskas voor oopgemaak, Bewaar by kamertemperatuur na oopgemaak","Gcina efrijini ngaphambi kokuvula, Gcina kwiqondo lobushushu eliqhelekileyo emva kokuvula","Gcina/beka kwisiqandisi ngaphambi kokuwuvula, Gcina/beka endaweni  epholile uma usuvuliwe"
"Store at room temperature, Store in a dry place","Bewaar by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Keep away from direct sunlight","Stoor by kamertemperatuur, Hou weg van direkte sonlig","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kude nelanga ngqo","Gcina/beka endaweni epholile, Gcina/beka kude nelanga"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
"Store at room temperature, Store in a dry place","Stoor by kamertemperatuur, Stoor op 'n droë plek","Gcina kwiqondo lobushushu eliqhelekileyo, Gcina kwindawo eyomileyo","Gcina/beka endaweni epholile, Gcina/beka endaweni eyomile"
Avoid alcohol,Vermy alkohol,Gwema utywala,Gwema utshwala/ Ungaphuzi utshwala
Avoid applying to irritated skin,Vermy aanwending op geïrriteerde vel,Gwema ukuqaba kulusu olucaphukileyo,Ungagcobi/ ungagcobisi esikhunjeni esiqubukile
Avoid applying to large areas,Vermy aanwending op groot areas,Gwema ukuqaba kwiindawo ezinkulu,Gwema ukugcoba/ ungagcobi/ ungagcobisi ezindaweni ezinkulu
Avoid close contact with sick individuals,Vermy noue kontak met siek individue,Gwema ukuchukumisana nabantu abagulayo,Gwema ukusondelana/ ungasondelani nabantu abagulayo
Avoid contamination,Vermy besmetting,Gwema ukungcoliseka,Gwema ukuthelelana ngegciwane
Avoid eating or drinking immediately after,Vermy eet of drink onmiddellik daarna,Gwema ukutya okanye ukusela ngoko nangoko emva koko,Gwema ukudla noma ukuphuza emva kwalokho
Avoid inhalation,Vermy inaseming,Gwema ukuyiphefumla,Gwema ukuhogela/ ungahogeli
Avoid sexual intercourse during treatment,Vermy seksuele omgang gedurende behandeling,Gwema ukuthandana ngesondo ngexesha lonyango,Gwema ucansi ngesikhathi sokwelashwa
"Avoid touching face, especially eyes, nose, and mouth","Vermy aanraking van die gesig, veral oë, neus en mond","Gwema ukuphatha ubuso, ngakumbi amehlo, impumlo nomlomo","Gwema ukuthinta ubuso, ikakhulukazi amehlo, ikhala nomlomo"
Avoid using if there is rectal bleeding,Vermy gebruik indien daar rektale bloeding is,Gwema ukuyisebenzisa ukuba kukho ukopha kwilungu langasese elingasemva,Gwema ukusebenzisa uma kukhona ukopha endunu/emdidini
Carry a source of sugar in case of hypoglycemia,Hou 'n bron van suiker byderhand in geval van hipoglukemie,Phatha iswekile kwimeko yokuba kungehla eswekile yegazi,Phatha ukudla okuzokunika amandla uma kwenzeka ushukela wehla
Contains Penicillin,Bevat Penisillien,Ine-penicillin,InePenicillin
Cover mouth and nose with elbow or tissue when sneezing or coughing,Bedek mond en neus met elmboog of sneesdoekie wanneer jy nies of hoes,Gquma umlomo kunye nempumlo ngengqiniba okanye iphepha xa uthimula okanye ukhohlela,Vala umlomo namakhala ngendololwane noma nge-tissue uma uthimula noma ukhwehlela
Disinfect frequently-touched surfaces regularly,Ontsmet oppervlaktes wat gereeld aangeraak word.,Coca ngesibulali-zintsholongwane iindawo ezihlala zithintwa rhoqo,Gcina izindawo ezithintwa njalo zihlanzenzike
Do not drive if drowsy,Moenie bestuur indien lomerig nie.,Musa ukuqhuba ukuba uyozela,Ungashayeli uma uzizwa unesiyezi
Do not drive if vision is blurred,Moenie bestuur as jou sig vaag is nie. ,Musa ukuqhuba ukuba awuboni kakuhle,Ungashayeli uma ungaboni kahle
Do not share medication,Moenie medikasie deel nie,Musa ukwabelana ngamayeza,Ungabelani ngemithi/ ungasebenzisi umuthi owodwa nabanye abantu
Do not swallow whole,Moenie heel insluk nie,Musa ukuginya ipilisi iphelele,Ungagwinyi konke.
Do not use for prolonged periods without medical advice,Moenie vir langdurige periodes gebruik sonder mediese advies nie,Musa ukuyisebenzisa ixesha elide ngaphandle kweengcebiso zonyango,Ungawusebenzisi isikhathi eside ngaphandle kokuthola isiluleko kumsebenzi wezempilo
Do not use on broken skin,Moenie op beskadigde vel gebruik nie,Musa ukuyisebenzisa kulusu olwaphukileyo,Ungawusebenzisi esikhunjeni esidabukile
Ensure complete dissolution before ingestion,Verseker volledige oplossing voor inname,Qinisekisa ukuba inyibilike ngokuphelelyo phambi kokuba uginye,Qinisekisa ukuthi kuncibilike ngokuphelele ngaphambi kokuphuza
Follow recommended healthcare guidelines,Volg aanbevole gesondheidsriglyne,Landela imigaqo yezempilo eyelulekwayo,Landela imiyalelo yezempilo egunyaziwe
Inform healthcare provider of all medications being taken,Lig jou gesondheidsorgverskaffer in oor alle medikasie wat jy neem,Xelela umboneleli wakho wezempilo ngamayeza owaselayo,Yazisa/bikela umsebenzi wezempilo ngayoyonke imithi oyisebenzisayo 
Inform healthcare provider of any discomfort or irritation,Lig jou gesondheidsorgverskaffer in oor enige ongemak of irritasie,Xelela umboneleli wakho wezempilo ngentlungu okanye ukucaphuka,Yazisa/bikela umsebenzi wezempilo uma uzizwa ungakhululekile noma uma ungazizwa kahle
Inform healthcare provider of any ear issues,Lig jou gesondheidsorgverskaffer in oor enige oorprobleme,Xelela umboneleli wakho wezempilo ngentlungu yeendlebe,Yazisa/bikela umsebenzi wezempilo nganoma ngabe iyiphi inkinga yendlebe onayo
Inform healthcare provider of any eye issues,Lig jou gesondheidsorgverskaffer in oor enige oogprobleme,Xelela umboneleli wakho ngeengxaki zamehlo,Yazisa/bikela umsebenzi wezempilo nganoma ngabe yiziphi izinkinga zamehlo onazo
Inform healthcare provider of any irritation or discharge,Lig jou gesondheidsorgverskaffer in oor enige irritasie of afskeiding,Xelela umboneleli wakho wezempilo ngokucaphuka okanye ukuphuma kwento,"Yazisa/bikela umsebenzi wezempilo uma kukhona ukuluma, ukuqubuka noma kuphuma uketshezi/umjuzo "
Inform healthcare provider of any mouth issues,Lig jou gesondheidsorgverskaffer in oor enige mondkwale,Xelela umboneleli wakho wezempilo ngeengxaki zomlomo,Yazisa/bikela umsebenzi wezempilo nganoma yiziphi izinkinga zomlomo onazo.
Inform healthcare provider of any nasal issues,Lig jou gesondheidsorgverskaffer in oor enige neuskwale,Xelela umboneleli wakho wezempilo ngeengxaki zempumlo,Yazisa/bikela umsebenzi wezempilo nganoma yiziphi izinkinga zamakhala onazo.
Inform healthcare provider of any skin reactions,Lig jou gesondheidsorgverskaffer in oor enige velreaksies,Xelela umboneleli wakho wezempilo ngeziphumo zolusu,Yazisa/bikela umsebenzi wezempilo uma ingakuphathi kahle esikhunjeni.
Keep out of reach of children,Hou buite bereik van kinders,Gcina kude nabantwana,Gcina/beka kude nezingane
Keep track of usage,Hou rekord van gebruik,Gcina umkhondo wokusebenzisa,Gcina umlando (i-record) wokuwusebenzisa
Measure dose accurately,Meet dosis akkuraat,Linganisa umthamo ngokuchanekileyo,Kala idoseji ngokufanelekile
Monitor blood sugar levels regularly,Monitor bloedsuikervlakke gereeld,Jonga izinga leswekile yegazi rhoqo,Hlola izinga likashukela njalo
Monitor health and seek medical attention if symptoms arise,Monitor gesondheid en raadpleeg mediesehulp indien simptome opduik,Jonga impilo yakho kwaye ucele uncedo lonyango ukuba iimpawu ziyavela,Qapha isimo sakho sempilo futhi ucele usizo lwabezempilo uma kuba khona izimpawu
Stay home if feeling unwell,Bly tuis indien jy ongesteld voel,Hlala ekhaya ukuba uziva ungaphilanga,Hlala ekhaya uma uzizwa ungaphilile
Throw away after 30 days of opening,Vernietig na 30 dae na opening,Lahla emva kweentsuku ezingama-30 emva kokuvulwa,Lahla emva kwezinsuku ezingama-30 emva kokuvulwa
Use as directed,Gebruik soos voorgeskryf,Sebenzisa njengoko ucetyisiwe,Sebenzisa njengoba uyalelwe
